Company,Region,URL
JNT,Bangka Belitung,"https://www.google.com/maps/place/Kantor+Pusat+J%26T+Logistic+pangkalpinang/@-2.1412964,106.1447511,17z/data=!4m8!3m7!1s0x2e22c7c706f73ac5:0x843ec436878c99ae!8m2!3d-2.1412964!4d106.1447511!9m1!1b1!16s%2Fg%2F11fp4yn7kx?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Kepulauan Riau,"https://www.google.com/maps/place/J%26T+EXPRESS/@1.1234125,104.0491366,17z/data=!4m8!3m7!1s0x31d989be1a421be3:0x2e53ebf21058f8f4!8m2!3d1.1234125!4d104.0491366!9m1!1b1!16s%2Fg%2F11j2y3rgsx?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Banten,"https://www.google.com/maps/place/J%26T+Express+Tangerang/@-6.1998179,106.6344797,17z/data=!4m8!3m7!1s0x2e69f93773408ddf:0x3a345391c0729676!8m2!3d-6.1998179!4d106.6393506!9m1!1b1!16s%2Fg%2F11cntj9977?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,DKI Jakarta,"https://www.google.com/maps/place/J%26T+Express+Klender/@-6.2418116,106.8994154,17z/data=!4m8!3m7!1s0x2e69f3516616511b:0xa64b7fe0694bf5f1!8m2!3d-6.2418116!4d106.9019903!9m1!1b1!16s%2Fg%2F11c5wjq1pw?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Jawa Barat,"https://www.google.com/maps/place/J%26T+Express+Bekasi/@-6.2272018,106.9998848,17z/data=!4m8!3m7!1s0x2e698c1e60c5095b:0xa2e80bee72f1b6e1!8m2!3d-6.2272018!4d107.0047557!9m1!1b1!16s%2Fg%2F11cmhvyfz6?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Jawa Tengah,"https://www.google.com/maps/place/J%26T+Express/@-6.8902893,110.6345991,17z/data=!4m8!3m7!1s0x2e70ebdce2081349:0xc08f076116d38605!8m2!3d-6.8902893!4d110.63947!9m1!1b1!16s%2Fg%2F11cntmgmfx?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,DIY Yogyakarta,"https://www.google.com/maps/place/J%26T+Express+YOGYAKARTA/@-7.7884789,110.3736684,17z/data=!4m8!3m7!1s0x2e7a57ae23276cd3:0x3e3bc9ec5892a7ca!8m2!3d-7.7884789!4d110.3785393!9m1!1b1!16s%2Fg%2F11c0rpckwd?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Jawa Timur,"https://www.google.com/maps/place/J%26T+Express+Lamongan/@-7.1226873,112.3999885,17z/data=!4m8!3m7!1s0x2e77f0b76b3ae10f:0x8f505a7ce1fa1ecc!8m2!3d-7.1226873!4d112.4025634!9m1!1b1!16s%2Fg%2F11c594nr_g?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,Bali,"https://www.google.com/maps/place/J%26T+Express+dan+Cargo+Teuku+Umar+Denpasar/@-8.6691808,115.2065311,17z/data=!4m18!1m9!3m8!1s0x2dd240cdf7038a4b:0x41dcf635c10752b0!2sJ%26T+Express+dan+Cargo+Teuku+Umar+Denpasar!8m2!3d-8.6691808!4d115.211402!9m1!1b1!16s%2Fg%2F11cmmwv95t!3m7!1s0x2dd240cdf7038a4b:0x41dcf635c10752b0!8m2!3d-8.6691808!4d115.211402!9m1!1b1!16s%2Fg%2F11cmmwv95t?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
JNT,NTT,"https://www.google.com/maps/place/J%26T+Express+MAULAFA/@-10.1899452,123.6115051,17z/data=!4m8!3m7!1s0x2c569b48ba3bd4df:0x498d97dcbf26ac49!8m2!3d-10.1899452!4d123.616376!9m1!1b1!16s%2Fg%2F11c5454m15?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
